county_name,state_name,total_acres,avg_acres_per_decade,num_decades,urbanization_rate,scenario,scenario_description,spatial_level,time_period,generated_date
Los Angeles County,California,5527603.59,276380.18,5,1105520.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Maricopa County,Arizona,3964338.5,198216.93,5,792867.7,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Riverside County,California,3962326.87,158493.07,5,792465.37,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Harris County,Texas,3184804.16,127392.17,5,636960.83,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cook County,Illinois,2640817.23,132040.86,5,528163.45,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
San Diego County,California,2518464.02,100738.56,5,503692.8,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fresno County,California,2208657.16,88346.29,5,441731.43,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Santa Clara County,California,2181033.49,87241.34,5,436206.7,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
San Bernardino County,California,2051091.44,82043.66,5,410218.29,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Tarrant County,Texas,1910948.12,76437.92,5,382189.62,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Suffolk County,New York,1910359.87,95517.99,5,382071.97,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pima County,Arizona,1812636.71,90631.84,5,362527.34,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Dallas County,Texas,1787502.18,71500.09,5,357500.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
King County,Washington,1762979.95,88149.0,5,352595.99,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Oakland County,Michigan,1759385.3,87969.26,5,351877.06,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Stanislaus County,California,1707772.31,68310.89,5,341554.46,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Wayne County,Michigan,1684234.63,84211.73,5,336846.93,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Orange County,California,1673423.79,66936.95,5,334684.76,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Palm Beach County,Florida,1651046.34,66041.85,5,330209.27,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Navajo County,Arizona,1617584.53,64703.38,5,323516.91,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Middlesex County,Massachusetts,1590662.7,79533.13,5,318132.54,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
St. Louis County,Missouri,1534279.99,76714.0,5,306856.0,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Allegheny County,Pennsylvania,1467952.62,73397.63,5,293590.52,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hillsborough County,Florida,1455131.56,58205.26,5,291026.31,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Wake County,North Carolina,1430963.29,71548.16,5,286192.66,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Shelby County,Tennessee,1410719.3,70535.97,5,282143.86,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bexar County,Texas,1401226.11,56049.04,5,280245.22,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Kern County,California,1379412.81,55176.51,5,275882.56,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mecklenburg County,North Carolina,1377965.67,68898.28,5,275593.13,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lane County,Oregon,1362704.11,54508.16,5,272540.82,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Orange County,Florida,1352738.06,54109.52,5,270547.61,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pierce County,Washington,1323521.63,52940.87,5,264704.33,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fairfield County,Connecticut,1301193.62,65059.68,5,260238.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Worcester County,Massachusetts,1296264.22,64813.21,5,259252.84,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fulton County,Georgia,1225371.99,81691.47,5,245074.4,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Marion County,Florida,1221027.41,48841.1,5,244205.48,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jefferson County,Alabama,1215508.57,60775.43,5,243101.71,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Polk County,Florida,1208477.2,48339.09,5,241695.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pinal County,Arizona,1206515.05,60325.75,5,241303.01,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Franklin County,Ohio,1204950.34,60247.52,5,240990.07,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Montgomery County,Texas,1187069.79,47482.79,5,237413.96,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hartford County,Connecticut,1176773.96,58838.7,5,235354.79,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sonoma County,California,1172220.85,46888.83,5,234444.17,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Clark County,Nevada,1171950.06,46878.0,5,234390.01,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hennepin County,Minnesota,1167704.07,58385.2,5,233540.81,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cuyahoga County,Ohio,1167587.73,58379.39,5,233517.55,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Snohomish County,Washington,1151913.86,57595.69,5,230382.77,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Spokane County,Washington,1144447.9,45777.92,5,228889.58,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Travis County,Texas,1141157.61,45646.3,5,228231.52,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Monterey County,California,1126150.94,45046.04,5,225230.19,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sacramento County,California,1122568.8,44902.75,5,224513.76,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Oklahoma County,Oklahoma,1101542.58,44061.7,5,220308.52,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fairfax County,Virginia,1098003.3,54900.16,5,219600.66,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lee County,Florida,1096255.77,43850.23,5,219251.15,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
El Paso County,Colorado,1080379.17,43215.17,5,216075.83,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Salt Lake County,Utah,1056594.86,42263.79,5,211318.97,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Kent County,Michigan,1051027.48,52551.37,5,210205.5,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Erie County,New York,1039956.74,51997.84,5,207991.35,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Gwinnett County,Georgia,1026386.55,51319.33,5,205277.31,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Chester County,Pennsylvania,1025883.07,51294.15,5,205176.61,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Davidson County,Tennessee,1017946.71,50897.34,5,203589.34,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Duval County,Florida,1017899.65,50894.98,5,203579.93,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
New Haven County,Connecticut,1017846.87,50892.34,5,203569.37,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Contra Costa County,California,1013436.18,40537.45,5,202687.24,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Broward County,Florida,1007092.11,50354.61,5,201418.42,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mobile County,Alabama,1001663.77,50083.19,5,200332.75,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Marion County,Indiana,984646.73,49232.34,5,196929.35,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hamilton County,Ohio,980088.13,49004.41,5,196017.63,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Montgomery County,Pennsylvania,973677.03,48683.85,5,194735.41,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Baltimore County,Maryland,971377.77,48568.89,5,194275.55,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Waukesha County,Wisconsin,965560.09,48278.0,5,193112.02,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Westchester County,New York,958771.84,47938.59,5,191754.37,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lancaster County,Pennsylvania,926705.22,46335.26,5,185341.04,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Tulsa County,Oklahoma,924342.23,36973.69,5,184868.45,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
DuPage County,Illinois,921396.37,46069.82,5,184279.27,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Macomb County,Michigan,917691.15,45884.56,5,183538.23,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Coconino County,Arizona,912454.65,36498.19,5,182490.93,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Alameda County,California,905664.77,36226.59,5,181132.95,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lake County,Illinois,905633.59,45281.68,5,181126.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bucks County,Pennsylvania,898596.54,44929.83,5,179719.31,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Genesee County,Michigan,897824.09,44891.2,5,179564.82,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cobb County,Georgia,890995.73,44549.79,5,178199.15,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Monroe County,New York,887524.07,44376.2,5,177504.81,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
St. Louis County,Minnesota,885018.77,44250.94,5,177003.75,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Shasta County,California,884774.31,35390.97,5,176954.86,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Yakima County,Washington,875352.95,35014.12,5,175070.59,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Plymouth County,Massachusetts,873037.71,43651.89,5,174607.54,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Monmouth County,New Jersey,872964.64,43648.23,5,174592.93,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Westmoreland County,Pennsylvania,871650.23,43582.51,5,174330.05,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Will County,Illinois,869640.52,43482.03,5,173928.1,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Montgomery County,Maryland,864790.56,43239.53,5,172958.11,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
San Joaquin County,California,863577.38,34543.1,5,172715.48,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Apache County,Arizona,863373.52,34534.94,5,172674.7,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Greenville County,South Carolina,862233.41,43111.67,5,172446.68,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Spartanburg County,South Carolina,861203.32,43060.17,5,172240.66,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Collin County,Texas,858495.71,34339.83,5,171699.14,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Adams County,Colorado,853056.1,42652.81,5,170611.22,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jefferson County,Kentucky,852977.99,42648.9,5,170595.6,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Essex County,Massachusetts,850857.43,42542.87,5,170171.49,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Brazoria County,Texas,849496.96,33979.88,5,169899.39,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Summit County,Ohio,845617.96,42280.9,5,169123.59,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Placer County,California,838143.56,33525.74,5,167628.71,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Tehama County,California,835885.94,33435.44,5,167177.19,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bernalillo County,New Mexico,834092.23,41704.61,5,166818.45,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Guilford County,North Carolina,830142.98,41507.15,5,166028.6,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bristol County,Massachusetts,827544.53,41377.23,5,165508.91,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Onondaga County,New York,819982.46,40999.12,5,163996.49,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pulaski County,Arkansas,810962.8,40548.14,5,162192.56,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Prince George's County,Maryland,808610.73,40430.54,5,161722.15,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Knox County,Tennessee,801458.28,40072.91,5,160291.66,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hillsborough County,New Hampshire,798432.39,39921.62,5,159686.48,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jefferson County,Colorado,798297.5,31931.9,5,159659.5,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mohave County,Arizona,797363.51,39868.18,5,159472.7,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jackson County,Missouri,787985.14,39399.26,5,157597.03,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Montgomery County,Ohio,785797.21,39289.86,5,157159.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cochise County,Arizona,783954.09,39197.7,5,156790.82,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Ocean County,New Jersey,782258.4,39112.92,5,156451.68,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
York County,Pennsylvania,778970.82,38948.54,5,155794.16,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Aroostook County,Maine,773932.68,38696.63,5,154786.54,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Madera County,California,768893.13,30755.73,5,153778.63,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sedgwick County,Kansas,766570.1,30662.8,5,153314.02,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Morris County,New Jersey,765347.41,38267.37,5,153069.48,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Barnstable County,Massachusetts,751987.16,37599.36,5,150397.43,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Ventura County,California,751351.24,30054.05,5,150270.25,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Grays Harbor County,Washington,750420.84,30016.83,5,150084.17,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Denton County,Texas,749928.6,29997.14,5,149985.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Horry County,South Carolina,747994.29,37399.71,5,149598.86,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Richland County,South Carolina,747101.32,37355.07,5,149420.26,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Norfolk County,Massachusetts,737780.16,36889.01,5,147556.03,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pasco County,Florida,734921.52,29396.86,5,146984.3,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Volusia County,Florida,733076.05,29323.04,5,146615.21,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bowie County,Texas,732573.91,29302.96,5,146514.78,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Brevard County,Florida,732037.78,29281.51,5,146407.56,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Nassau County,New York,729413.77,36470.69,5,145882.75,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lewis County,Washington,722497.69,28899.91,5,144499.54,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pinellas County,Florida,718333.33,35916.67,5,143666.67,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lexington County,South Carolina,711803.21,35590.16,5,142360.64,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lake County,Florida,708168.21,28326.73,5,141633.64,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sussex County,Delaware,702318.08,35115.9,5,140463.62,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
DeKalb County,Georgia,701102.85,46740.19,5,140220.57,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Baldwin County,Alabama,698243.61,34912.18,5,139648.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
New Castle County,Delaware,697821.47,34891.07,5,139564.29,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Middlesex County,New Jersey,695798.01,34789.9,5,139159.6,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Anderson County,South Carolina,693316.26,34665.81,5,138663.25,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hampden County,Massachusetts,690158.7,34507.93,5,138031.74,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mendocino County,California,688785.94,27551.44,5,137757.19,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Thurston County,Washington,684348.79,27373.95,5,136869.76,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fort Bend County,Texas,681704.56,27268.18,5,136340.91,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Milwaukee County,Wisconsin,681167.57,34058.38,5,136233.51,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Berks County,Pennsylvania,680342.9,34017.14,5,136068.58,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Washtenaw County,Michigan,680264.3,34013.22,5,136052.86,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Tulare County,California,675459.93,27018.4,5,135091.99,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Dutchess County,New York,673540.01,33677.0,5,134708.0,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hidalgo County,Texas,673003.65,26920.15,5,134600.73,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Clark County,Washington,671810.7,33590.53,5,134362.14,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Burlington County,New Jersey,669121.25,33456.06,5,133824.25,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Stark County,Ohio,668988.17,33449.41,5,133797.63,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Charleston County,South Carolina,667397.27,33369.86,5,133479.45,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Johnson County,Kansas,662609.74,26504.39,5,132521.95,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
San Luis Obispo County,California,659917.87,26396.71,5,131983.57,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Osceola County,Florida,656050.79,26242.03,5,131210.16,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lake County,Indiana,656009.49,32800.47,5,131201.9,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Aiken County,South Carolina,654806.11,32740.31,5,130961.22,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Anne Arundel County,Maryland,653981.16,32699.06,5,130796.23,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
El Paso County,Texas,650528.63,32526.43,5,130105.73,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Matagorda County,Texas,650159.33,26006.37,5,130031.87,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
York County,South Carolina,649562.99,32478.15,5,129912.6,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Madison County,Alabama,648619.29,32430.96,5,129723.86,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sarasota County,Florida,644270.22,25770.81,5,128854.04,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Rockingham County,New Hampshire,641031.65,32051.58,5,128206.33,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Kane County,Illinois,634766.06,31738.3,5,126953.21,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Wharton County,Texas,633932.81,25357.31,5,126786.56,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cumberland County,Maine,630865.47,31543.27,5,126173.09,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Chesterfield County,Virginia,626932.11,31346.61,5,125386.42,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hamilton County,Tennessee,626524.44,31326.22,5,125304.89,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
East Baton Rouge Parish,Louisiana,626377.05,31318.85,5,125275.41,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bergen County,New Jersey,624339.86,62433.99,5,124867.97,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
St. Tammany Parish,Louisiana,621495.07,24859.8,5,124299.01,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Buncombe County,North Carolina,617635.76,30881.79,5,123527.15,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jefferson County,Texas,616281.68,24651.27,5,123256.34,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Santa Rosa County,Florida,615727.21,30786.36,5,123145.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Livingston County,Michigan,614450.14,30722.51,5,122890.03,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Prince William County,Virginia,612361.42,30618.07,5,122472.28,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Erie County,Pennsylvania,610017.76,30500.89,5,122003.55,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
