county_name,state_name,total_acres,avg_acres_per_decade,num_decades,urbanization_rate,scenario,scenario_description,spatial_level,time_period,generated_date
Becker County,Minnesota,189464.23,9473.21,5,37892.85,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hood County,Texas,189261.85,7570.47,5,37852.37,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mariposa County,California,189014.01,9450.7,5,37802.8,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Chilton County,Alabama,188851.49,9442.57,5,37770.3,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Albany County,Wyoming,188703.01,7548.12,5,37740.6,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Clarendon County,South Carolina,188633.45,9431.67,5,37726.69,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Amador County,California,188517.4,7540.7,5,37703.48,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Iberville Parish,Louisiana,188504.73,9425.24,5,37700.95,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Franklin County,Tennessee,187902.81,9395.14,5,37580.56,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
McDowell County,North Carolina,187702.61,9385.13,5,37540.52,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jefferson County,Pennsylvania,187622.43,9381.12,5,37524.49,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Webster Parish,Louisiana,187615.92,9380.8,5,37523.18,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mesa County,Colorado,187598.79,7503.95,5,37519.76,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Liberty County,Georgia,187198.48,9359.92,5,37439.7,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Columbia County,Wisconsin,187048.7,9352.44,5,37409.74,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Manitowoc County,Wisconsin,186980.14,9349.01,5,37396.03,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Washington County,Vermont,186949.46,9347.47,5,37389.89,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Dickson County,Tennessee,186945.85,9347.29,5,37389.17,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lincoln County,Oregon,186273.6,12418.24,5,37254.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Burke County,Georgia,186230.5,9311.52,5,37246.1,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
St. Martin Parish,Louisiana,186077.25,7443.09,5,37215.45,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Knox County,Ohio,185913.4,9295.67,5,37182.68,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sherburne County,Minnesota,185911.65,9295.58,5,37182.33,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Carlton County,Minnesota,185539.29,9276.96,5,37107.86,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Oldham County,Kentucky,185202.67,9260.13,5,37040.53,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sauk County,Wisconsin,185193.43,9259.67,5,37038.69,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Island County,Washington,184905.78,9245.29,5,36981.16,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Union County,Ohio,184750.33,9237.52,5,36950.07,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Union County,New Mexico,184661.36,7386.45,5,36932.27,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lewis County,New York,184397.96,9219.9,5,36879.59,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Knox County,Illinois,184022.53,9201.13,5,36804.51,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Iberia Parish,Louisiana,183522.71,7340.91,5,36704.54,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Trinity County,Texas,183391.13,7335.65,5,36678.23,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cass County,Michigan,183349.51,9167.48,5,36669.9,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jefferson County,Tennessee,183195.54,9159.78,5,36639.11,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Yamhill County,Oregon,183183.38,7327.34,5,36636.68,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Vigo County,Indiana,183086.66,9154.33,5,36617.33,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Franklin County,Maine,183026.57,9151.33,5,36605.31,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Perry County,Ohio,182854.9,9142.75,5,36570.98,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Ionia County,Michigan,182791.9,9139.6,5,36558.38,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Yadkin County,North Carolina,182692.61,9134.63,5,36538.52,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sanilac County,Michigan,182561.81,9128.09,5,36512.36,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Clarion County,Pennsylvania,182546.7,9127.33,5,36509.34,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Washington County,Alabama,182474.11,9123.71,5,36494.82,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pend Oreille County,Washington,182212.18,7288.49,5,36442.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Morrison County,Minnesota,181947.83,9097.39,5,36389.57,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mecklenburg County,Virginia,181735.86,9086.79,5,36347.17,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Colquitt County,Georgia,181682.12,9084.11,5,36336.42,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Sawyer County,Wisconsin,181020.26,9051.01,5,36204.05,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Perry County,Pennsylvania,180331.42,9016.57,5,36066.28,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Allegany County,New York,180269.83,9013.49,5,36053.97,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
